res,getrtime
1572943,11
1572943,14
1572943,47
1572943,63
1572943,62
1581348,35
1581348,27
1581348,31
1581348,120
1581348,75
1590209,23
1590209,65
1590209,61
1590209,62
1590209,144
1599196,65
1599196,44
1599196,36
1599196,75
1599196,55
1607856,32
1607856,22
1607856,26
1607856,62
1607856,16
1614720,31
1614720,43
1614720,45
1614720,59
1614720,50
1623111,67
1623111,13
1623111,47
1623111,84
1623111,185
1631910,22
1631910,18
1631910,62
1631910,53
1631910,156
1640808,82
1640808,24
1640808,30
1640808,122
1640808,51
1648046,19
1648046,49
1648046,82
1648046,47
1648046,70
1657481,79
1657481,10
1657481,22
1657481,31
1657481,116
1667785,43
1667785,64
1667785,68
1667785,45
1667785,63
1677520,52
1677520,30
1677520,60
1677520,80
1677520,63
1686623,32
1686623,56
1686623,69
1686623,54
1686623,59
1694165,62
1694165,30
1694165,10
1694165,36
1694165,66
1703516,13
1703516,48
1703516,17
1703516,29
1703516,62
1711616,60
1711616,35
1711616,99
1711616,103
1711616,97
1718793,15
1718793,21
1718793,34
1718793,62
1718793,94
1725609,58
1725609,34
1725609,75
1725609,168
1725609,41
1732526,10
1732526,38
1732526,76
1732526,68
1732526,81
1732526,62
1740570,9
1740570,28
1740570,48
1740570,54
1740570,68
1748007,49
1748007,68
1748007,20
1748007,12
1748007,86
1755547,65
1755547,54
1755547,95
1755547,75
1755547,59
1762163,8
1762163,55
1762163,20
1762163,84
1762163,78
1768200,33
1768200,23
1768200,42
1768200,96
1768200,84
1775127,81
1775127,101
1775127,33
1775127,52
1775127,41
1782936,69
1782936,35
1782936,72
1782936,34
1782936,76
1792085,27
1792085,32
1792085,51
1792085,126
1792085,62
1799972,22
1799972,25
1799972,61
1799972,24
1799972,14
1808624,55
1808624,51
1808624,38
1808624,40
1808624,257
1816421,60
1816421,27
1816421,48
1816421,72
1816421,51
1823138,85
1823138,13
1823138,74
1823138,56
1823138,72
1830791,11
1830791,48
1830791,19
1830791,7
1830791,79
1838039,114
1838039,37
1838039,48
1838039,63
1838039,44
1844318,82
1844318,54
1844318,64
1844318,41
1844318,169
1850161,12
1850161,17
1850161,9
1850161,126
1850161,39
1856214,30
1856214,11
1856214,33
1856214,78
1856214,96
1862607,8
1862607,53
1862607,55
1862607,90
1862607,77
1869232,73
1869232,10
1869232,69
1869232,108
1869232,70
1875375,67
1875375,15
1875375,13
1875375,47
1875375,67
1882088,96
1882088,65
1882088,61
1882088,68
1882088,58
1888266,56
1888266,89
1888266,31
1888266,58
1888266,145
1894181,1307
1894181,62
1894181,424
1894181,572
1894181,58
1898420,31
1898420,14
1898420,58
1898420,60
1898420,33
1880323,301
1880323,56
1880323,68
1880323,260
1880323,50
1885699,18
1885699,398
1885699,71
1885699,95
1885699,61
1891613,61
1891613,40
1891613,13
1891613,121
1891613,73
1898188,81
1898188,63
1898188,39
1898188,13
1898188,50
1880456,63
1880456,12
1880456,21
1880456,62
1880456,49
1888689,55
1888689,39
1888689,44
1888689,26
1888689,36
1897288,20
1897288,49
1897288,39
1897288,60
1897288,55
1880967,607
1880967,20
1880967,21
1880967,84
1880967,65
1884236,863
1884236,42
1884236,18
1884236,35
1884236,38
1885797,22
1885797,220
1885797,78
1885797,196
1885797,53
1888231,18
1888231,23
1888231,27
1888231,36
1888231,288
1890372,17
1890372,11
1890372,14
1890372,75
1890372,46
1891453,15
1891453,21
1891453,100
1891453,90
1891453,147
1893748,15
1893748,66
1893748,36
1893748,82
1893748,82
1896427,79
1896427,233
1896427,161
1896427,74
1896427,506
1899036,43
1899036,16
1899036,107
1899036,115
1899036,126
1875822,210
1875822,13524
1875822,42
1875822,43
1875822,218
1877487,82
1877487,35
1877487,67
1877487,112
1877487,110
1880509,93
1880509,35
1880509,96
1880509,138
1880509,636
1883397,98
1883397,28
1883397,93
1883397,12
1883397,42
1885910,813
1885910,30
1885910,116
1885910,443
1885910,191
1888621,22
1888621,15
1888621,19
1888621,79
1888621,83
1892038,85
1892038,18
1892038,147
1892038,35
1892038,83
1894829,23
1894829,94
1894829,84
1894829,172
1894829,184
1897745,16
1897745,26
1897745,53
1897745,15
1897745,1806
1899049,21
1899049,25
1899049,22
1899049,25
1899049,31
1899872,32
1899872,36
1899872,31
1899872,29
